id,image_path,productDisplayName,subCategory,label,split
15970,../data/raw/fashion-product-images-small/images/15970.jpg,Turtle Check Men Navy Blue Shirt,Topwear,17,train
59263,../data/raw/fashion-product-images-small/images/59263.jpg,Titan Women Silver Watch,Watches,19,train
21379,../data/raw/fashion-product-images-small/images/21379.jpg,Manchester United Men Solid Black Track Pants,Bottomwear,2,train
53759,../data/raw/fashion-product-images-small/images/53759.jpg,Puma Men Grey T-shirt,Topwear,17,train
1855,../data/raw/fashion-product-images-small/images/1855.jpg,Inkfruit Mens Chain Reaction T-shirt,Topwear,17,train
26960,../data/raw/fashion-product-images-small/images/26960.jpg,Jealous 21 Women Purple Shirt,Topwear,17,train
29114,../data/raw/fashion-product-images-small/images/29114.jpg,Puma Men Pack of 3 Socks,Socks,16,train
30039,../data/raw/fashion-product-images-small/images/30039.jpg,Skagen Men Black Watch,Watches,19,train
48123,../data/raw/fashion-product-images-small/images/48123.jpg,Fossil Women Black Huarache Weave Belt,Belts,1,train
18653,../data/raw/fashion-product-images-small/images/18653.jpg,Fila Men Cush Flex Black Slippers,Flip Flops,5,train
47957,../data/raw/fashion-product-images-small/images/47957.jpg,Murcia Women Blue Handbag,Bags,0,train
46885,../data/raw/fashion-product-images-small/images/46885.jpg,Ben 10 Boys Navy Blue Slippers,Flip Flops,5,train
12369,../data/raw/fashion-product-images-small/images/12369.jpg,Reid & Taylor Men Check Purple Shirts,Topwear,17,train
29928,../data/raw/fashion-product-images-small/images/29928.jpg,Police Men Black Dial Watch PL12889JVSB,Watches,19,train
47359,../data/raw/fashion-product-images-small/images/47359.jpg,Baggit Women Brown Handbag,Bags,0,train
17429,../data/raw/fashion-product-images-small/images/17429.jpg,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,Watches,19,train
13089,../data/raw/fashion-product-images-small/images/13089.jpg,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,Topwear,17,train
18461,../data/raw/fashion-product-images-small/images/18461.jpg,David Beckham Signature Men Deos,Fragrance,6,train
9036,../data/raw/fashion-product-images-small/images/9036.jpg,Buckaroo Men Flores Black Formal Shoes,Shoes,15,train
48311,../data/raw/fashion-product-images-small/images/48311.jpg,Pitaraa Women Bronze Beaded Bracelet,Jewellery,8,train
7990,../data/raw/fashion-product-images-small/images/7990.jpg,Fila Men's Round Neck Navy Blue T-shirt,Topwear,17,train
56019,../data/raw/fashion-product-images-small/images/56019.jpg,Colorbar Soft Touch Show Stopper Copper Lipstick 037,Lips,9,train
21977,../data/raw/fashion-product-images-small/images/21977.jpg,Murcia Women Casual Brown Handbag,Bags,0,train
37812,../data/raw/fashion-product-images-small/images/37812.jpg,John Players Men Navy Blue Shirt,Topwear,17,train
59051,../data/raw/fashion-product-images-small/images/59051.jpg,Carlton London Women Black & Gold Toned Flats,Shoes,15,train
58183,../data/raw/fashion-product-images-small/images/58183.jpg,Rocky S Women White Handbag,Bags,0,train
29742,../data/raw/fashion-product-images-small/images/29742.jpg,Kiara Women Teal Handbag,Bags,0,train
3954,../data/raw/fashion-product-images-small/images/3954.jpg,Jealous 21 Women's Pink T-shirt,Topwear,17,train
2886,../data/raw/fashion-product-images-small/images/2886.jpg,Catwalk Women Leather Brown Flats,Shoes,15,train
23278,../data/raw/fashion-product-images-small/images/23278.jpg,Maxima Ssteele Men Off White Watch,Watches,19,train
28690,../data/raw/fashion-product-images-small/images/28690.jpg,W Women Printed Beige Kurta,Topwear,17,train
3168,../data/raw/fashion-product-images-small/images/3168.jpg,Nike Men's Incinerate MSL White Blue Shoe,Shoes,15,train
9452,../data/raw/fashion-product-images-small/images/9452.jpg,John Miller Men Stripes White Red Shirts,Topwear,17,train
38402,../data/raw/fashion-product-images-small/images/38402.jpg,Baggit Women Hood Dabang Black Belt,Belts,1,train
44984,../data/raw/fashion-product-images-small/images/44984.jpg,Maxima Women White Dial Watch,Watches,19,train
32138,../data/raw/fashion-product-images-small/images/32138.jpg,Playboy Men Blue Titanium Briefs,Innerwear,7,train
59435,../data/raw/fashion-product-images-small/images/59435.jpg,Arrow Men Black Formal Shoes,Shoes,15,train
4943,../data/raw/fashion-product-images-small/images/4943.jpg,Gini and Jony Boy's Kaleb White Brown Kidswear,Topwear,17,train
59607,../data/raw/fashion-product-images-small/images/59607.jpg,FNF Pink & Grey Wedding Collection Sari,Saree,14,train
45258,../data/raw/fashion-product-images-small/images/45258.jpg,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,Watches,19,train
6628,../data/raw/fashion-product-images-small/images/6628.jpg,ADIDAS Men's Lowell White Silver Shoe,Shoes,15,train
54924,../data/raw/fashion-product-images-small/images/54924.jpg,Do U Speak Green Men Blue Shorts,Bottomwear,2,train
26538,../data/raw/fashion-product-images-small/images/26538.jpg,ID Men Red Shoes,Shoes,15,train
